"Month","reporting","0-<3m","3-<6m","6-<9m","9-<12m","12-<24m","24-<60m"
Jun 2020,"MIQR","100.0
(100.0-100)","100.0
( 82.1-100)","100.0
( 33.3-100)","100.0
( 50.0-100)","100.0
( 91.7-100)","100.0
( 90.8-100)"
Jun 2020,"Range","100.0
( 25.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
( 50.0-100)"
Jul 2020,"MIQR"," 83.3
( 55.7-100)","100.0
( 65.0-100)","100.0
( 68.8-100)","100.0
(100.0-100)","100.0
( 84.2-100)"," 96.2
( 45.8-100)"
Jul 2020,"Range"," 83.3
( 25.0-100)","100.0
( 44.4-100)","100.0
(  0.0-100)","100.0
( 85.7-100)","100.0
( 50.0-100)"," 96.2
(  0.0-100)"
Aug 2020,"MIQR","100.0
( 50.0-100)"," 83.3
( 54.2-100)","100.0
( 66.7-100)"," 66.7
( 54.2- 78)"," 78.6
( 37.5-100)","100.0
( 78.5-100)"
Aug 2020,"Range","100.0
(  0.0-100)"," 83.3
( 18.2-100)","100.0
(  0.0-100)"," 66.7
(  0.0-100)"," 78.6
(  0.0-100)","100.0
( 28.6-100)"
Sep 2020,"MIQR","100.0
( 36.4-100)","100.0
( 50.0-100)","100.0
( 87.5-100)","100.0
( 75.0-100)"," 65.7
( 39.6-100)","100.0
( 48.5-100)"
Sep 2020,"Range","100.0
(  0.0-100)","100.0
( 37.5-100)","100.0
( 35.7-100)","100.0
(  0.0-100)"," 65.7
(  0.0-100)","100.0
(  0.0-100)"
Oct 2020,"MIQR","100.0
( 76.4-100)","100.0
( 48.1-100)","100.0
(100.0-100)","100.0
( 85.4-100)","100.0
( 75.2-100)"," 92.9
( 63.4-100)"
Oct 2020,"Range","100.0
( 38.4-100)","100.0
(  0.0-100)","100.0
( 43.8-100)","100.0
(  0.0-100)","100.0
(  0.0-100)"," 92.9
(  0.0-100)"
Nov 2020,"MIQR"," 77.8
( 33.3-100)"," 78.6
( 55.4-100)","100.0
( 68.8-100)","100.0
( 60.0-100)"," 91.7
( 48.8-100)"," 80.0
( 58.3-100)"
Nov 2020,"Range"," 77.8
(  0.0-100)"," 78.6
( 38.1-100)","100.0
( 43.8-100)","100.0
(  0.0-100)"," 91.7
(  0.0-100)"," 80.0
(  0.0-100)"
Dec 2020,"MIQR","100.0
(100.0-100)","100.0
( 90.0-100)","100.0
(100.0-100)","100.0
( 81.2-100)","100.0
( 50.0-100)","100.0
( 94.4-100)"
Dec 2020,"Range","100.0
( 66.7-100)","100.0
( 50.0-100)","100.0
( 75.0-100)","100.0
( 66.7-100)","100.0
(  0.0-100)","100.0
(  0.0-100)"
Jan 2021,"MIQR","100.0
(100.0-100)","100.0
( 75.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
( 53.6-100)","100.0
( 79.2-100)"
Jan 2021,"Range","100.0
( 66.7-100)","100.0
(  0.0-100)","100.0
( 50.0-100)","100.0
(100.0-100)","100.0
(  0.0-100)","100.0
( 50.0-100)"
Feb 2021,"MIQR","100.0
( 91.3-100)","100.0
( 50.0-100)","100.0
( 87.5-100)","100.0
( 90.0-100)","100.0
( 62.5-100)","100.0
(100.0-100)"
Feb 2021,"Range","100.0
( 40.0-100)","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
( 33.3-100)","100.0
(  0.0-100)","100.0
(  0.0-100)"
Mar 2021,"MIQR","100.0
( 88.5-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)"
Mar 2021,"Range","100.0
(  0.0-100)","100.0
( 60.0-100)","100.0
( 55.6-100)","100.0
( 50.0-100)","100.0
( 50.0-100)","100.0
(  0.0-100)"
Apr 2021,"MIQR","100.0
( 73.1-100)","100.0
( 80.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)"
Apr 2021,"Range","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
( 25.0-100)","100.0
( 50.0-100)","100.0
( 16.7-100)","100.0
(  0.0-100)"
May 2021,"MIQR","100.0
( 87.5-100)","100.0
( 71.2-100)","100.0
( 53.1-100)"," 80.0
( 48.6-100)","100.0
( 86.7-100)","100.0
( 70.7-100)"
May 2021,"Range","100.0
( 72.7-100)","100.0
( 42.9-100)","100.0
( 33.3-100)"," 80.0
( 40.0-100)","100.0
( 50.0-100)","100.0
(  0.0-100)"
Jun 2021,"MIQR","100.0
( 85.2-100)","100.0
( 86.5-100)","100.0
( 85.0-100)"," 91.4
( 65.5-100)","100.0
( 80.6-100)","100.0
( 73.6-100)"
Jun 2021,"Range","100.0
( 55.1-100)","100.0
( 50.0-100)","100.0
( 38.9-100)"," 91.4
(  0.0-100)","100.0
( 50.0-100)","100.0
(  0.0-100)"
Jul 2021,"MIQR","100.0
( 67.4-100)","100.0
( 73.8-100)","100.0
( 62.5-100)","100.0
( 75.7-100)","100.0
( 70.5-100)"," 92.3
( 66.3-100)"
Jul 2021,"Range","100.0
(  0.0-100)","100.0
( 70.0-100)","100.0
(  0.0-100)","100.0
( 57.1-100)","100.0
( 30.0-100)"," 92.3
( 33.3-100)"
Aug 2021,"MIQR","100.0
( 89.4-100)","100.0
( 89.7-100)"," 85.5
( 56.2-100)","100.0
( 93.6-100)","100.0
( 79.6-100)"," 84.7
( 70.0- 98)"
Aug 2021,"Range","100.0
( 50.0-100)","100.0
( 62.5-100)"," 85.5
(  0.0-100)","100.0
( 71.4-100)","100.0
( 50.0-100)"," 84.7
(  0.0-100)"
Sep 2021,"MIQR","100.0
( 92.7-100)","100.0
( 86.7-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
( 95.8-100)"," 75.0
( 34.4-100)"
Sep 2021,"Range","100.0
(  0.0-100)","100.0
(  0.0-100)","100.0
( 63.6-100)","100.0
(  0.0-100)","100.0
( 35.7-100)"," 75.0
(  0.0-100)"
Oct 2021,"MIQR","100.0
( 97.1-100)","100.0
( 90.9-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
( 89.3-100)","100.0
( 63.1-100)"
Oct 2021,"Range","100.0
( 60.0-100)","100.0
( 45.5-100)","100.0
( 25.0-100)","100.0
( 25.0-100)","100.0
( 50.0-100)","100.0
( 41.7-100)"
Nov 2021,"MIQR","100.0
( 98.8-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
(100.0-100)","100.0
( 93.2-100)"
Nov 2021,"Range","100.0
( 33.3-100)","100.0
( 60.0-100)","100.0
( 58.8-100)","100.0
( 50.0-100)","100.0
( 31.6-100)","100.0
( 25.0-100)"
Dec 2021,"MIQR","100.0
( 97.4-100)","100.0
( 80.0-100)","100.0
(100.0-100)","100.0
( 75.0-100)","100.0
( 91.7-100)","100.0
(100.0-100)"
Dec 2021,"Range","100.0
( 64.3-100)","100.0
( 66.7-100)","100.0
( 60.0-100)","100.0
( 22.2-100)","100.0
( 20.0-100)","100.0
( 16.7-100)"
